post_id,title,score,num_comments,author,category
47629840,North Korea–linked hackers drain $285M from Drift in sophisticated attack,6,2,lschueller,technology
47612202,Article about simple LSB steganography in JavaScript,7,1,ernos,general
47634086,Vermin Supreme: When I'm President Everyone Gets a Free Pony [video],10,4,nomilk,general
47634072,Landdown – Simple sandboxing for shell scripts,5,0,birdculture,general
47626833,Ask HN: What are you moving on to now that Claude Code is so rate limited?,10,15,esperent,general
47605086,pg_plan_alternatives: Tracing PostgreSQL Query Plan Alternatives Using eBPF,7,1,tanelpoder,general
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,30,0,mooreds,general
47637050,Were our Grandparents Nazis? Nat Archives makes NSDAP records available online,8,0,ZunarJ5,technology
47592660,The .env File Nobody Needs,13,6,alwillis,general
47612035,UK Government unveils rules to end subscription traps,27,6,_____k,general
